id,name,maker,variant,type,productType,strainType,thcPct,cbdPct,terpenes,genetics,countryOfOrigin,irradiationStatus,producerUseCases,producerNotes,sourceName,sourceUrl,sourceType,sourceCheckedAt,sourceLicense,sourceNotes,availabilityStatus,availabilityConfidence,availabilityCheckedAt,availabilitySourceName,availabilitySourceUrl,availabilityNotes,availabilitySignals
aurora-medical-neon-sour-flower,Neon Sour,Aurora Medical,,sativa,flower,sativa,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/neon-sour,official manufacturer product feed,2026-04-02T00:00:00.000Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T00:00:00.000Z,Aurora Medical,https://www.auroramedical.com/products/neon-sour,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-black-jelly-flower,Black Jelly,Aurora Medical,,sativa,flower,sativa,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/black-jelly2,official manufacturer product feed,2026-04-02T00:00:00.000Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T00:00:00.000Z,Aurora Medical,https://www.auroramedical.com/products/black-jelly2,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-moon-berry-flower,Moon Berry,Aurora Medical,,hybrid,flower,hybrid,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/moon-berry,official manufacturer product feed,2026-04-02T00:00:00.000Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T00:00:00.000Z,Aurora Medical,https://www.auroramedical.com/products/moon-berry,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-ponderosa-pine-flower,Ponderosa Pine,Aurora Medical,,sativa,flower,sativa,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/ponderosa-pine-3-5g,official manufacturer product feed,2026-04-02T00:00:00.000Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T00:00:00.000Z,Aurora Medical,https://www.auroramedical.com/products/ponderosa-pine-3-5g,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-funk-dynasty-flower,Funk Dynasty,Aurora Medical,,indica,flower,indica,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-funk-dynasty,official manufacturer product feed,2026-04-02T00:00:00.000Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T00:00:00.000Z,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-funk-dynasty,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-parm-farm-flower,Parm Farm,Aurora Medical,,hybrid,flower,hybrid,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-parm-farm,official manufacturer product feed,2026-04-02T00:00:00.000Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T00:00:00.000Z,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-parm-farm,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-cookie-stash-og-flower,Cookie Stash OG,Aurora Medical,,indica,flower,indica,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-cookie-stash-og,official manufacturer product feed,2026-04-02T00:00:00.000Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T00:00:00.000Z,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-cookie-stash-og,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-alpine-sweet-flower,Alpine Sweet,Aurora Medical,,sativa,flower,sativa,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-alpine-sweet-tbd,official manufacturer product feed,2026-04-02T00:00:00.000Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T00:00:00.000Z,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-alpine-sweet-tbd,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-petro-biscuit-flower,Petro Biscuit,Aurora Medical,,indica,flower,indica,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-petro-biscuit,official manufacturer product feed,2026-04-02T00:00:00.000Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T00:00:00.000Z,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-petro-biscuit,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-guava-pinata-flower,Guava Pinata,Aurora Medical,,sativa,flower,sativa,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-guava-pinata,official manufacturer product feed,2026-04-02T00:00:00.000Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T00:00:00.000Z,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-guava-pinata,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
